motion_energy_first_person,motion_energy_second_person,frames
3191.7115334900873,2337.3593804525613,312
2929.834299732121,2274.5864732025825,313
2668.870314803348,2342.2745233868127,314
2616.124667030314,2354.026125091699,315
2686.9958354159744,2435.7551996682937,316
2673.5142833469145,2427.955992848264,317
2725.549381867767,2384.2437669073515,318
2671.4462725777016,2371.0591888184454,319
2636.706545641443,2319.304739434274,320
2645.012469605089,2400.886821157708,321
2622.9896741242437,2387.801940424342,322
2720.896485492782,2429.3845814023157,323
2720.9884866394004,2389.950141534402,324
2784.765032243246,2134.820182942346,325
2690.008922798415,2400.622459547915,326
2687.059974054951,2360.7973571690945,327
2845.0835545765967,2365.3745522317663,328
2610.8853472592837,2372.0045024863866,329
2639.7124256403026,2274.2477952179224,330
2837.5348813412656,2433.090248821387,331
2599.0493802840433,2440.084918444231,332
2597.6871028714977,2185.433196605885,333
2596.164329169891,2420.415052055529,334
2597.020489795723,2441.3171113203207,335
3183.278258483237,2219.6633257708863,336
2921.6500045531325,2385.9825656038756,337
2666.4020891840773,2326.337249318324,338
2616.7556404128723,2267.9283465753397,339
2681.0671744622086,2333.6518552014945,340
2672.183097484041,2347.6947962924282,341
2729.194728443025,2432.2493436725726,342
2677.321131994452,2430.8708472507847,343
2638.117971090528,2378.35061475834,344
2642.827976843479,2366.9031325152173,345
2624.8754072019997,2322.1173085917712,346
2721.843484476163,2398.8503667600016,347
2722.6664707559084,2384.112866436438,348
2787.2526498003836,2427.0563950053133,349
2687.348050465688,2394.61018580762,350
2680.9687434172156,2134.5996797887237,351
2843.0374693484728,2398.361072164759,352
2607.1049039444856,2359.1754193692013,353
2638.4952964900804,2362.8020104675506,354
2844.7278193372895,2371.5086031394244,355
2601.2615372049904,2277.249907590554,356
2600.4395904439766,2432.657305218558,357
2602.2294201980444,2446.421698931935,358
2604.5278953536344,2185.000409797126,359
3191.0359546569985,2422.394390332361,360
2932.4286158488717,2440.9064493333776,361
2675.678907484527,2223.1069798308467,362
2623.6036422395587,2385.029116358465,363
2693.654478360531,2333.9549170652385,364
2683.4526286030996,2265.6827693032005,365
2736.2027159779486,2338.0734222661317,366
2682.7084767491087,2351.130547653682,367
2648.491812862891,2435.7165983169652,368
2649.995551134225,2428.7805376933425,369
2626.1486114302206,2384.049827544174,370
2723.219719021337,2368.148967815862,371
2725.8605937322445,2319.974503771615,372
2790.698897401072,2400.744817379001,373
2692.4624056989032,2381.2931736906767,374
2686.1286262259505,2424.325515550596,375
2847.5742015575493,2387.0112179803286,376
2610.482678424376,2128.520712518228,377
2638.7401291820647,2397.3086032228525,378
2843.1960033614937,2357.768814137963,379
2601.8097260099357,2362.1918139787613,380
2603.21433786927,2373.4997080970616,381
2602.1673259700883,2273.770255395377,382
2605.6660375184956,2435.771530454646,383
3189.566084910513,2445.69449072747,384
2925.842369575897,2184.374930235688,385
2670.0245329705144,2419.2548718457647,386
2625.6722977984155,2440.627392455406,387
2686.824628814065,2224.4288765354436,388
2679.898497059262,2392.377217041822,389
2730.8741118445305,2332.0222918100167,390
2677.6783459344324,2270.671810647624,391
2642.168306615622,2338.4487718412556,392
2644.9727547801153,2352.181318994009,393
2626.780792011471,2432.260422317358,394
2724.3061499398596,2430.5687460424692,395
2726.8556529107013,2382.294521224712,396
2792.9520304272955,2372.8058547842506,397
2690.750276083064,2327.703055266509,398
2688.6762437438188,2407.710228896312,399
2848.8303151208283,2395.227979785088,400
2611.6741198493355,2432.7267580952803,401
2639.3591669255857,2391.0120849540062,402
2844.280817815146,2137.6228882963305,403
2603.5981560920877,2404.4005231347924,404
2603.2081424139274,2366.8082863099794,405
2602.6128763008905,2372.980445101984,406
3632.6057366797736,2377.2032568723157,407
4219.189661792946,2273.4860299405636,408
3956.2188063892727,2430.924421301799,409
2673.8902344235103,2449.8304621898933,410
3648.8936086058147,2191.7552574978913,411
3720.5852401430675,2422.864300035031,412
3708.723418159256,2446.7406677175886,413
2729.8451392747147,2231.177588064494,414
2682.610186168018,2394.042897939746,415
2639.813960589963,2339.981834103693,416
3673.742092480383,2276.2194397481367,417
3656.557301136571,2343.2639848029175,418
3766.026103752124,2356.333124168524,419
1635.561125732406,2436.703060132984,420
11.405154383353334,2429.362177971814,421
1187.0286120573655,2381.9278627619587,422
2812.8087788081643,2369.8614254281056,423
2705.621318067437,2327.064918366735,424
2718.488490695971,2408.550573378949,425
2883.747785368214,2385.5495424165383,426
2645.9275681878794,2428.968155852955,427
2689.5029433314976,2392.7891560542184,428
3180.1322654032697,2135.6172351579503,429
2868.3781896119663,2402.607280387549,430
2580.6090726515245,2360.5175807277064,431
2640.98541620602,2359.480622474725,432
2646.4601119534514,2370.215872368698,433
2931.226124361341,2266.1705975291397,434
3044.5802048788905,2427.817786620018,435
2460.3710379714976,2434.4332412605563,436
2282.2422056431105,2175.962255477273,437
2864.3577935586336,2413.396865859907,438
3041.3481193689145,2436.720832206293,439
2282.3874482249507,2219.52155772473,440
2577.6049410222977,909.1006258219905,441
2933.4748006714553,4.626529310209262,442
